display  D   display_settings.c:212  debug_display_settings           [   0.03791] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03793] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03793] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03877] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03881] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03883] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03884] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03921] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03925] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03929] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03944] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03948] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03951] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03954] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03957] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03958] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03959] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03960] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03961] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03962] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03963] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03964] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03965] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03966] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03966] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03967] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03968] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03969] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03970] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03971] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03972] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03973] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03974] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03975] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03976] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03977] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03985] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03987] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03988] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03990] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03991] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03992] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03993] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
